country_code,cat_name,end_use,carrier_name,0
PRT,household,space_heating,biomass,3.4959015858058686
PRT,household,cooking,biomass,3.5009562884730174
PRT,household,water_heating,electricity,0.7137272321345994
PRT,household,space_heating,electricity,0.3112426110426007
PRT,household,cooking,electricity,4.549001066019762
PRT,household,water_heating,heat,0.021991539837631097
PRT,household,space_heating,heat,0.03161028555134686
PRT,household,cooking,heat,0.0
PRT,household,water_heating,natural_gas,3.258625948014406
PRT,household,space_heating,natural_gas,1.4693512890765859
PRT,household,cooking,natural_gas,2.5688037171105824
PRT,household,water_heating,oil,1.8294448388546676
PRT,household,space_heating,oil,1.2470587491393232
PRT,household,cooking,oil,0.0
PRT,household,water_heating,other_renewable,0.0
PRT,household,space_heating,other_renewable,0.0
PRT,household,cooking,other_renewable,0.0
PRT,household,water_heating,solar_thermal,0.4087083876407116
PRT,household,space_heating,solar_thermal,0.058928270830810175
PRT,household,cooking,solar_thermal,0.0
PRT,household,water_heating,solid_fossil,0.0
PRT,household,space_heating,solid_fossil,0.0
PRT,household,cooking,solid_fossil,0.0
ROU,household,water_heating,biomass,1.4854804937955461
ROU,household,space_heating,biomass,33.7967567826877
ROU,household,cooking,biomass,1.1481999588515353
ROU,household,water_heating,electricity,0.5995477355387738
ROU,household,space_heating,electricity,0.12733741618858863
ROU,household,cooking,electricity,0.005823022771486985
ROU,household,water_heating,heat,1.8111167694400245
ROU,household,space_heating,heat,7.291619900284346
ROU,household,cooking,heat,0.0
ROU,household,water_heating,natural_gas,3.9864801461374215
ROU,household,space_heating,natural_gas,7.766003339079103
ROU,household,cooking,natural_gas,16.406475106492525
ROU,household,water_heating,oil,0.33658616456152574
ROU,household,space_heating,oil,0.0005827021700780228
ROU,household,cooking,oil,0.015374413308618471
ROU,household,water_heating,other_renewable,0.0
ROU,household,space_heating,other_renewable,0.0
ROU,household,cooking,other_renewable,0.0
ROU,household,water_heating,solar_thermal,0.0
ROU,household,space_heating,solar_thermal,0.0
ROU,household,cooking,solar_thermal,0.0
ROU,household,water_heating,solid_fossil,0.015586495257409131
ROU,household,space_heating,solid_fossil,0.5837644108505539
ROU,household,cooking,solid_fossil,0.0
SVK,household,water_heating,biomass,0.03490577630893148
SVK,household,space_heating,biomass,0.42259215539974765
SVK,household,cooking,biomass,0.014148243384828108
SVK,household,water_heating,electricity,0.40125271668988205
SVK,household,space_heating,electricity,0.3880285348124653
SVK,household,cooking,electricity,2.9009746403762717
SVK,household,water_heating,heat,1.190716358434916
SVK,household,space_heating,heat,4.446376692058149
SVK,household,cooking,heat,0.0
SVK,household,water_heating,natural_gas,1.4955791284969766
SVK,household,space_heating,natural_gas,12.24607073732069
SVK,household,cooking,natural_gas,0.0
