"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
2974;"Keskusosuuskunta Oulun Seudun Sähkö";"Kempeleen keskustan lämpökeskus";"Aurinkokuja 5 ";"90440";"Kempele";"Finland";"SRID=4326;POINT(25.483992 64.913692)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
2975;"Fortum Power and Heat Oy";"Auroranportin lämpökeskus";"Auroranportti, Espoo";"2201";"Espoo";"Finland";"SRID=4326;POINT(24.704453 60.239811)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
2976;"Keskusosuuskunta Oulun Seudun Sähkö";"Ekohakan lämpökeskus";"Ekohaka 16 ";"90440";"Kempele";"Finland";"SRID=4326;POINT(25.508084 64.907814)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
2977;"Kajaanin Lämpö Oy";"Elementtitien lämpökeskus";"Elementtitie 8";"87100";"Kajaani";"Finland";"SRID=4326;POINT(27.760057 64.197663)";"Other non-classified";"ETS";3.00;;;;0.00;0.00;0.00;0.00
2978;"Kajaanin Lämpö Oy";"Erätien lämpökeskus";"Erätie 23";"87100";"Kajaani";"Finland";"SRID=4326;POINT(27.74212 64.232365)";"Other non-classified";"ETS";5.00;;;;0.00;0.00;0.00;0.00
2979;"Lappeenrannan Energia Oy";"Hyrymäen lämpökeskus";"Eteläkatu 22";"53500";"Lappeenranta";"Finland";"SRID=4326;POINT(28.221345 61.042704)";"Other non-classified";"ETS";11.00;;;;0.00;0.00;0.00;0.00
2980;"Mariehamns Bioenergi Ab";"Bioenergi MB5 MB11";"Fabrikgatan 9 ";"22100";"Mariehamn";"Finland";"SRID=4326;POINT(19.94126 60.102423)";"Other non-classified";"ETS";28.00;;;;0.00;0.00;0.00;0.00
2981;"Tammisaaren Energia";"Flemingsgatans värmecentral";"Flemingsgatan 19 ";"10600";"Tammisaari";"Finland";"SRID=4326;POINT(23.445329 59.977045)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
2982;"Mariehamns Energi Ab";"Sviby Panncentral";"Flygfältsvägen 10 ";"22150";"JOMALA";"Finland";"SRID=4326;POINT(19.913387 60.123054)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
2983;"Lahti Energia Oy";"Mukkulan lämpökeskus";"Haapalankatu 29";"15240";"Lahti";"Finland";"SRID=4326;POINT(25.652546 61.010655)";"Other non-classified";"ETS";2569.00;;;;0.00;0.00;0.00;0.00
2984;"Keravan Energia Oy";"Pihkaniityn lämpökeskus";"Haapaniityntie";"4200";"Kerava";"Finland";;"Other non-classified";"ETS";23.00;;;;0.00;0.00;0.00;0.00
