,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WAI146P042,13225,13152,12153,8518,9550,10479,8719,10981,13677,13740,38030,40672,38644,37780,36331
VL718,4693,4840,5204,4986,4752,3533,4141,4495,3907,3968,3711,3903,3889,4408,4368
WAI085P043,38166,47974,47293,44470,28335,36470,32705,24694,23721,17639,19925,27992,30399,38144,45677
WAI082P019,18997,16927,18697,20373,17480,18615,18692,19668,19837,19345,19472,23420,22878,22485,21484
VL191,559078,514258,459798,525496,525550,521974,539452,300749,537352,498625,493884,388655,451446,457012,471834
WAI067P072,1508060,1539243,1520739,1433875,1126304,1157929,1190209,1138264,1020843,986622,921480,915759,631447,913235,1024282
VL164,,,,,,,,,118617,112505,93445,108749,111588,113117,118255
VL116,,,,,,,,,15518,16562,14817,14113,18527,19740,19375
WAI104P009,60601,64436,62975,61916,58316,69788,62404,62429,79375,80585,79338,80115,84739,79372,76362
VL169,,,,,,,,,,34281,39261,45730,47681,48289,50227
WAI068P102,148622,143513,146773,138368,90064,87072,103167,101604,96910,96921,105531,105610,107131,111741,111073
VL138,198716,217953,174491,93162,78162,75938,91701,84012,206545,185686,227870,217278,226355,194751,214239
WAI020P079,116635,124504,114478,104525,103952,118345,130857,120798,126928,108639,127070,107648,123664,119286,
VL139,157172,157022,119664,158388,157345,229056,221504,228465,165657,233549,220768,209257,228557,234019,198800
VL125,27112,28569,28994,31108,30296,34849,33256,30594,30152,31841,36193,38877,37766,36249,34853
WAI147P041,22826,24453,26469,27209,21965,27201,28589,21169,25130,26432,24934,24705,31064,32031,27387
WAI071P006,47482,47959,47477,46082,47674,42747,39877,27137,28501,27926,29123,32648,36952,49310,49604
VL106B,93397,86702,88445,82833,64662,83667,82801,79583,81508,75650,75906,78062,77130,74723,54919
VL106A,106747,120996,108824,97150,88788,86524,92226,96068,125632,118414,132835,93468,93048,95579,95706
WAI078P101,69656,66004,69945,60094,55449,40924,48126,43942,68984,59081,53467,53601,62120,64277,62978
VL129,23450,22143,22836,25392,22654,23838,24682,23032,25777,23840,25598,27976,29431,34661,25448
VL507,,,,27035,26197,23023,22502,23002,34116,33717,31315,30979,35576,42315,47281
VL119,267527,266660,267200,263439,239921,251167,231189,236753,303328,283198,215118,213004,224450,248056,226585
WAI044P071,86298,84289,81905,82506,42365,55818,54477,54380,47283,54368,53985,59067,58417,66843,41954
WAI043P014,190218,199764,185028,177688,59983,152327,134015,105074,111724,113236,132652,138321,138670,145831,156092
VL717,28585,30606,33648,30406,23729,23879,28780,27504,23749,27072,29866,29399,31015,29563,29661
VL150,,,,,,,,,0,0,0,0,0,17287,32763
VL504,20346,17965,16088,21397,11657,12180,10928,11003,10290,9477,9089,,,,
VL126,13132,11530,12800,22857,23273,15258,13846,16304,52933,51984,46094,48459,49301,45872,46793
VL195,64146,59730,61998,56029,59719,44310,42578,40141,34018,36192,35415,42796,39697,46383,46312
VL521,2244,2228,1983,,,,,,,,,,,,
VL902,24428,24681,24795,27505,27170,25174,25804,21553,24940,24354,22845,20317,22411,19122,18500
WAI086P068,9761,10654,10040,9978,8952,8774,9521,8590,6946,8292,10601,7084,6658,7135,8647
WAI087P066,11391,11603,11057,11290,10360,11737,13622,10899,18153,17853,18930,16264,16579,17367,15284
WAI088P066,8778,8587,8590,8157,7283,6369,8274,7422,9849,13650,11151,12502,13597,9769,11945
WAI089P067,5498,5911,6149,5778,4800,5558,4512,7,0,0,,,,,
WAI090P074,125317,114365,101688,95273,73913,71242,55740,53345,59761,53915,61604,70111,64985,79193,82076
WAI148P044,9396,10940,10472,10755,8373,11441,10433,10333,10504,11591,10926,12174,0,,
WAI094P082,103964,108410,106219,104507,91588,91930,98881,95634,93005,95124,89398,77733,89866,110868,93168
VL101B,,,,,,,29130,28503,66119,67755,79274,82440,85835,77878,81705
VL720,5370,2432,0,705,497,5485,1192,3567,132,70,,,,,
VL159,,,,,,,,,9138,8920,9169,11037,11600,10803,9164
VL306,191302,189707,209156,193951,161786,206439,189306,187858,164412,153641,194826,196087,187939,201721,177370
WAI100P073,27415,29322,29083,25388,25838,28611,26823,27485,27597,28626,28606,29432,26831,28345,25436
VL503,17169,17584,16706,12817,8090,18128,19475,17304,25158,19570,26667,28172,27485,20266,22360
VL302,34221,28496,27805,30894,30408,30163,22847,28175,27735,28601,29723,30662,31324,31512,31022
WAI097P100,226651,246823,185962,169064,125138,135628,132837,131098,20893,,,,,,
VL790,18434,28119,21295,17675,9881,8866,8228,11738,9053,7513,14433,11938,7216,7227,7771
VL301,30613,36703,30244,50323,43082,120201,132896,107614,100854,117126,109735,108786,114561,116720,126330
VL701,52991,65765,70077,60761,41955,51219,49380,42386,41412,51868,52468,41829,53525,57640,59948
VL703,26597,29579,30854,27637,25416,19889,19826,24042,17198,20970,20400,19415,25571,23110,27464
VL704,20111,14363,12937,10762,6706,6935,6929,5765,5347,5288,4910,6091,5979,5731,6436
VL722,29029,34130,34274,31529,20061,17722,25211,28512,24740,21853,37230,31380,35879,32445,29596
VL706,11546,5373,4943,5078,4984,4026,4786,4528,4035,4053,3809,3698,4392,3994,
VL709,23783,22583,20762,27433,25946,16957,20395,16849,15918,14614,12912,0,,,
VL710,21846,25606,19153,29944,28929,23005,25805,23736,27255,33987,38157,37616,36223,33775,41206
VL132,262228,242313,250017,1056457,925773,1021749,1150370,958768,860490,882099,859042,700659,824306,786567,768132
VL114,2065,3922,0,33281,31149,30442,26374,23749,30201,28637,28946,28482,27803,29981,28815
VL192,3088102,3334682,3285446,4021016,3776763,3985956,3261352,3566142,3645538,3621037,3780955,3719356,3676934,3643252,4004998
VL165,,,,,,,,,8996,8701,6779,6639,6871,7353,6939
WAI132P090,11337,11946,13358,13130,11289,12439,13714,14114,11450,11191,9660,9627,9330,8304,9037
VL904,14700,14655,15584,15063,18890,13831,12496,13613,12034,12251,10130,13977,13569,13778,13567
VL501,36776,36876,30571,162278,149399,136775,145169,137196,199572,195026,198613,204522,221646,236488,213150
VL502,109905,94121,94154,116525,112405,78027,74366,75950,77824,70212,75363,74386,72385,74701,73679
WAI045P085,1294087,1287681,1311903,1240023,870400,1179141,1146381,1093653,1158192,1118836,1091338,1025347,1006274,977106,808645
WAI041P017,466829,483314,466796,478173,218873,244135,298358,302883,247335,251049,228599,223513,223300,232598,188431
WAI074P099,477056,516034,439405,485432,374105,448983,477987,443378,446390,454131,474614,478562,461196,420697,417812
VL303,198825,218881,187940,203760,207442,204179,207931,204050,203932,208374,207599,205319,209680,200522,196883
VL719,23603,23377,32723,27694,24023,23739,25201,26222,23343,27759,29764,30764,29821,28511,30128
VL715,30330,32310,31479,29274,27355,21842,26620,24808,20859,26308,27569,27808,28813,28027,28144
VL713,33069,34110,31965,31325,28889,27668,29145,27714,26094,29010,31755,29572,29848,33447,34367
WAI015P076,57713,59200,56404,54288,47320,56864,60092,68556,78696,74047,78920,78530,32300,4447,5904
VL141,,,,,,,,,1546,1082,1233,1024,938,853,690
VL143,71112,75149,60449,164014,150890,159832,138950,133077,157505,174246,176179,175056,158233,182316,160585
VL711,16358,14926,14246,14297,10331,9395,11643,9125,8281,11558,12208,6793,10493,13055,13058
WAI070P055,287314,279338,287222,218325,150484,185831,290284,265229,884350,709089,864726,845510,858135,620408,
BG-P139,,,15644,15644,14152,15656,16160,16722,18827,21445,22688,23578,24424,24553,24790
BG-P94,,,223648,209146,192835,225368,262332,192764,493635,491840,544934,567192,554956,313440,112645
BG-P114,,,9653,7700,2756,4810,1964,1709,46821,40346,38611,38420,38395,57771,56706
BG-P24,,,103455,113366,90105,79847,117180,120810,116537,117884,116116,103203,119388,114608,118390
BG-P74,,,42031,41821,37120,40462,39740,38942,30960,38080,39367,35290,36303,37005,38898
BG-P119,,,11795,7897,2963,2588,2736,2965,2885,2880,3235,3197,3171,3322,3489
BG-P141,,,,8557,6884,3738,2123,1947,3446,4446,3565,2538,1465,2723,0
BG-P25,,,106343,112372,93167,100371,100075,73314,50013,43806,72825,97463,88108,108589,108588
BG-P10,,,27152,24189,26004,27445,30369,31092,30395,30617,32221,35626,38719,38872,36195
BG-P68,,,1730322,1519390,658270,498045,431397,821637,835107,770448,785655,932143,954807,882410,
BG-P127,,,1887,1349,2078,1136,503,1696,1730,290,0,0,,,
BG-P57,,,45978,43656,34788,34810,39061,37683,38757,36797,38509,44951,47514,46271,48256
BG-P21,,,19040,17954,15198,16060,23241,22450,26240,29468,29486,34080,34135,29948,31992
BG-P173,,,,,,,,,,4861,6282,2367,0,0,
BG-P91,,,630453,486648,401864,308082,366055,365862,374987,383494,398398,373467,369057,379957,447929
BG-P128,,,5231,5503,2825,1629,0,0,0,,,,,,
BG-P77,,,26700,25299,17938,22130,23012,22330,21338,20502,20851,21894,22621,22537,22418
BG-P129,,,4872,5646,1449,3206,7929,7360,6423,8000,6708,7985,8896,8241,8966
BG-P159,,,,,,,,10209,36747,37004,34856,0,0,0,
BG-P113,,,21637,21016,20402,20158,18226,868,0,Not Reported,Not Reported,Not Reported,,,
BG-P112,,,4384,2849,4194,3323,4475,3893,236994,248272,225268,231907,199230,204609,185419
BG-P9,,,23614,19864,5890,5642,4460,9903,10140,10448,6958,6060,6039,6221,3727
BG-P48,,,3702,3544,1043,658,825,380,590,400,347,336,352,284,303
BG-P117,,,15324,12198,9088,9465,14870,21267,24831,19185,18742,17663,1363,0,0
BG-P149,,,,,2976,1329,113,45,0,Not Reported,,,,,
BG-P11,,,15777,13456,0,48,17,16,0,0,0,0,,,
BG-P12,,,23551,22687,7005,4913,8516,9007,9125,10961,10986,9303,5944,8523,8225
BG-P41,,,11337,981,513,576,157,216,0,0,0,0,0,0,0
BG-P51,,,7685,6139,2632,1123,1486,1030,999,857,0,0,,,
BG-P64,,,7758,6534,6351,7205,4765,4143,3684,3406,2161,0,0,0,
BG-P122,,,14612,14577,3138,113,1854,1545,0,0,0,2566,0,0,0
BG-P67,,,11568,9053,5267,4023,8578,7065,8532,11090,7183,6001,3446,1378,
BG-P161,,,,,,,,12413,17496,16842,15974,19865,26673,29278,
BG-P38,,,2720388,2490239,1154441,1080952,2219299,1081498,1140474,1024860,1232026,1643313,1765769,1558136,2057729
BG-P115,,,96933,66835,30662,27362,21438,20492,25741,32505,17596,19290,18519,23837,21535
BG-P144,,,,257832,142646,181289,291974,228763,542959,597598,753748,748013,726049,691841,
BG-P15,,,,,,,513,1409,1283,406,1303,3015,3096,1796,
BG-P53,,,21740,24236,22273,23170,24235,22285,23104,23200,23620,21685,23668,22283,22887
BG-P44,,,2057,1354,590,1350,1766,1018,1306,1233,1613,1942,2216,387,
BG-P116,,,32332,38456,21888,20840,28818,18456,27056,24656,24257,29776,19574,33502,
175-H0,,,,,,,,,,,,,,82008,104104
BG-P160,,,,,,,,1937,2380,3609,4515,3238,3752,Not Reported,
BG-P43,,,29575,25366,10737,7901,12734,8511,5692,5582,11885,12981,2922,2286,2092
BG-P137,,,1655,1846,1254,636,476,381,85,0,0,38,81,74,
BG-P146,,,,0,0,0,0,0,0,0,0,0,0,0,
BG-P172,,,,,,,,,2780,13330,13157,13470,12841,11707,9296
BG-P156,,,,,,,620,3140,3822,3739,3487,3318,3711,2902,
BG-P31,,,62766,63527,51127,38161,64663,40424,43347,48735,46933,49093,50074,51028,
BG-P157,,,,,,,8428,19511,25760,21634,21869,22103,23715,22216,18187
BG-P29,,,7180,5015,2017,1901,2495,2695,3103,1856,1581,967,0,0,0
BG-P102,,,13617,12910,8780,11975,13255,14055,14679,14124,17539,15491,17078,22276,21451
BG-P170,,,,,,,,,492495,558406,537133,518707,521238,511604,
BG-P45,,,137297,173949,136713,141504,171263,134611,92737,115562,115955,109103,121524,128272,106786
BG-P118,,,5743,5583,1160,763,494,759,979,590,700,560,0,,
BG-P98,,,17179,23641,1160,14439,16865,7157,2440,2791,15042,13666,14930,15235,15619
BG-P76,,,3822473,3714732,2337447,2930299,3110725,1580509,592711,967645,0,0,,,
BG-P22,,,4509,4314,3977,4088,4365,4771,3361,3131,2618,2753,2733,2817,2740
